"","Equipment","Cost","Qty","Replacement","totalCost"
"1","Washer",16350,10,5,163500
"2","Dry Cleaners",30000,3,11,90000
"3","Steam",2880,3,10,8640
"4","Free Weights",1029,2,10,2058
"5","Dance room",25000,1,20,25000
"6","Locker",900,20,10,18000
"7","Showers",3000,16,7,48000
"8","Bikes",1200,10,10,12000
"9","Punching Bag",500,1,5,500
"10","Treadmills",1400,8,5,11200
"11","Ellipticals",1500,8,5,12000
"12","Computers",279,15,4,4185
"13","Bench",589,5,5,2945
"14","squat racks",2499,5,5,12495
"15","smith machine",1599,1,5,1599
"16","shoulder press",2800,2,5,5600
"17","leg press",3699,1,5,3699
"18","medcine balls",145,3,5,435
"19","locker room bench",100,10,20,1000
"20","Blue shorts",11.19,500,3,5595
"21","Swimming Pool",25000,1,10,25000
"22","Suana",10000,1,7,10000
"23","Requested Item",50000,1,NA,50000
"24","Towels",2.33,1200,3,2796
"25","barbell",450,10,10,4500
"26","Plates45",188,20,8,3760
"27","Plates35",146,20,10,2920
"28","plates10",42,20,15,840
"29","plates5",20,20,20,400
"30","Plates2.5",10,20,25,200
"31","pulling equpipment AVG Cost",50,10,5,500
